Datetime,Temp,Umi,Vel_vento,Dir_vento,Precipitacao,Ori_vento
2000-08-22 01:00:00,14.1,65,1.3,288,0.0,O
2000-05-13 05:00:00,14.1,94,0.3,167,0.0,S
2000-06-30 20:00:00,14.1,71,1.5,221,0.0,SO
2000-09-08 04:00:00,14.1,97,0.2,135,0.0,SE
2000-08-22 02:00:00,14.1,65,0.8,114,0.0,SE
2000-08-27 02:00:00,14.2,97,0.2,30,0.0,NE
2000-07-23 05:00:00,14.2,98,0.4,69,0.0,L
2000-07-08 23:00:00,14.2,97,0.3,152,0.0,SE
2000-05-19 02:00:00,14.2,95,0.4,199,0.0,S
2000-07-06 17:00:00,14.2,61,1.3,176,0.0,S
2000-09-05 20:00:00,14.2,91,0.6,65,0.0,NE
2000-09-09 01:00:00,14.2,96,0.4,210,0.0,SO
2000-09-06 20:00:00,14.2,91,0.5,61,0.0,NE
2000-05-13 07:00:00,14.2,94,0.7,254,0.0,O
2000-07-14 04:00:00,14.2,96,0.8,34,0.0,NE
2000-07-19 08:00:00,14.2,96,0.9,323,0.0,NO
2000-07-22 00:00:00,14.2,97,0.8,35,0.0,NE
2000-08-21 23:00:00,14.2,65,1.4,182,0.0,S
2000-05-15 21:00:00,14.2,93,0.8,121,0.0,SE
2000-09-04 07:00:00,14.2,73,0.3,37,0.1,NE
2000-06-13 19:00:00,14.2,72,0.2,79,0.0,L
2000-06-12 19:00:00,14.2,90,0.6,23,0.0,NE
2000-06-30 18:00:00,14.2,66,1.8,197,0.0,S
2000-07-18 06:00:00,14.2,98,0.4,144,0.1,SE
2000-06-16 03:00:00,14.2,100,0.3,111,0.1,L
2000-05-14 08:00:00,14.2,96,0.4,277,0.0,O
2000-05-17 04:00:00,14.2,96,0.7,61,0.0,NE
2000-07-19 23:00:00,14.2,96,0.3,216,0.0,SO
2000-07-18 07:00:00,14.2,99,1.0,165,0.1,S
2000-07-23 06:00:00,14.2,98,1.1,73,0.0,L
2000-08-15 04:00:00,14.2,97,0.5,27,0.1,NE
2000-08-29 07:00:00,14.2,97,0.4,86,0.0,L
2000-06-29 03:00:00,14.3,84,3.2,219,0.8,SO
2000-07-08 06:00:00,14.3,97,0.4,64,0.0,NE
2000-07-08 05:00:00,14.3,97,0.3,233,0.0,SO
2000-06-29 19:00:00,14.4,71,1.6,305,0.0,NO
2000-07-09 07:00:00,14.4,99,0.2,159,0.0,S
2000-07-06 18:00:00,14.4,58,0.8,43,0.0,NE
2000-11-05 04:00:00,14.4,96,0.4,289,0.0,O
2000-06-29 02:00:00,14.4,85,4.1,221,0.8,SO
2000-08-29 23:00:00,14.5,96,0.3,91,0.0,L
2000-08-29 01:00:00,14.5,95,0.4,272,0.0,O
2000-08-30 00:00:00,14.5,96,0.2,206,0.0,SO
